 X_RMS Y_RMS Z_RMS Latitude Longitude
ABG 5.382 6.568 5.36 18.638 72.872
API 5.702 6.206 6.418 -13.815 -171.781
ABK 11.237 2.585 5.988 68.358 18.823
ASC 3.924 5.849 3.682 -7.95 -14.38
BDV 2.287 1.391 2.624 49.08 14.02
BEL 2.6 1.934 1.996 51.84 20.79
BFO 1.832 1.686 1.353 48.331 8.325
BLC 6.674 3.619 12.277 64.318 -96.012
BMT 2.596 1.558 1.764 40.3 116.2
BOU 2.696 2.365 3.038 40.14 -105.233
BOX 2.936 4.864 3.849 58.07 38.23
BRD 4.036 3.68 6.594 49.87 -99.974
BRW 9.555 4.874 9.111 71.32 -156.62
CBB 9.45 5.219 11.992 69.123 -105.031
CKI 3.33 2.115 2.608 -12.188 96.834
CLF 1.903 1.312 1.35 48.025 2.26
CMO 10.625 4.943 6.049 64.87 -147.86
CNB 2.448 1.768 1.857 -35.32 149.36
CPL 7.779 2.685 5.488 17.294 78.919
CSY 14.981 6.686 14.109 -66.283 110.533
CTA 3.377 2.371 2.424 -20.09 146.264
CZT 3.42 3.376 2.925 -46.43 51.87
DED 9.432 9.346 11.565 70.36 -148.79
DLT 15.672 12.174 2.452 11.94 108.48
DUR 3.095 2.917 2.665 41.39 14.28
EBR 43.12 5.813 50.85 40.957 0.333
ESK 2.997 2.183 2.137 55.314 -3.206
EYR 5.404 8.742 16.19 -43.474 172.393
FCC 13.512 3.743 10.102 58.759 -94.088
FRD 2.632 2.079 3.61 38.21 -77.367
FRN 4.467 2.969 2.54 37.09 -119.72
FUR 2.478 2.737 1.795 48.17 11.28
GAN 3.303 4.537 3.532 -0.695 73.154
GCK 2.819 2.259 2.117 44.633 20.767
GDH 7.749 4.596 11.329 69.252 -53.533
GNG 3.083 2.518 1.69 -31.356 115.715
GUA 3.399 2.803 4.293 13.59 144.87
GUI 4.26 7.123 4.623 28.321 -16.441
HAD 1.944 1.561 1.568 51.0 -4.48
HBK 4.267 2.617 4.351 -25.88 27.71
HER 3.048 2.487 2.29 -34.43 19.23
HLP 2.815 2.673 2.268 54.61 18.82
HON 5.136 23.748 4.082 21.32 -158.0
HUA 6.078 4.358 5.245 -12.05 -75.33
HYB 3.715 4.976 4.966 17.42 78.55
IPM 6.936 4.533 5.815 -27.171 -109.42
IQA 9.212 5.2 10.353 63.753 -68.518
IZN 2.931 5.957 2.474 40.5 29.72
JAI 5.031 2.892 7.53 26.92 75.8
JCO 9.899 14.26 13.505 70.356 148.799
KAK 2.687 1.072 1.582 36.232 140.186
KDU 3.217 5.421 3.503 -12.69 132.47
KEP 2.863 3.795 2.146 -54.282 -36.493
KMH 5.27 3.649 3.171 -26.54 18.11
KNY 2.916 1.394 1.771 31.42 130.88
KOU 2.375 2.663 3.178 5.21 -52.73
LER 3.569 2.656 4.586 60.138 -1.183
LON 3.173 2.29 2.188 45.408 16.659
LRM 3.17 2.227 1.963 -22.22 114.1
LYC 6.418 1.999 5.575 64.612 18.748
MAW 9.124 9.34 11.003 -67.6 62.88
MCQ 7.132 3.869 8.005 -54.5 158.95
MEA 9.631 4.514 9.299 54.616 -113.347
MGD 2.735 2.267 2.602 60.051 150.728
MMB 2.413 1.312 1.532 43.91 144.19
NAQ 12.846 5.329 5.331 61.167 -45.433
NEW 1.996 2.109 3.748 48.27 -117.12
NGK 1.723 1.344 1.507 52.07 12.68
NVS 2.589 1.807 2.615 54.85 83.23
OTT 3.205 2.499 4.006 45.403 -75.552
PAG 3.447 2.755 2.361 42.515 24.177
PET 2.279 3.411 2.196 52.971 158.248
PIL 4.479 5.808 2.698 -31.4 -63.88
PPT 17.251 13.625 9.237 -17.567 -149.574
PST 5.338 12.029 11.373 -51.7 -57.89
RES 11.921 5.115 10.848 74.69 -94.895
SBA 17.256 21.216 26.395 -77.85 166.762
SBL 3.049 2.552 2.385 43.932 -60.01
SFS 476.257 784.423 2.3 36.667 -5.945
SHE 1.873 1.938 1.567 -15.961 -5.747
SHU 5.26 4.427 4.082 55.35 -160.46
SIT 4.831 3.258 5.72 57.06 -135.33
SJG 2.915 2.442 3.392 18.11 -66.15
SPT 2.113 1.881 1.901 39.55 -4.35
STJ 3.629 4.189 4.433 47.595 -52.677
SUA 2.225 2.49 1.792 44.68 26.25
TAM 3.22 4.337 2.279 22.79 5.53
TDC 2.652 1.749 2.096 -37.067 -12.316
THL 9.453 4.581 12.228 77.47 -69.227
THY 2.127 1.697 1.513 46.9 17.89
TSU 7.276 5.312 4.847 -19.202 17.584
TUC 2.705 1.946 3.097 32.17 -110.73
UPS 1.643 1.121 3.058 59.903 17.353
VIC 3.179 1.522 3.229 48.52 -123.42
VNA 5.919 8.611 8.206 -70.683 -8.283
VSS 3.372 2.765 1.965 -22.4 -43.65
WIC 1612.795 4747.331 1.326 47.93 15.866
WNG 1.815 2.449 1.628 53.725 9.053
YAK 6.071 4.522 6.144 61.96 129.66
DMC 14.2 7.726 20.567 -75.25 124.167
LZH 4.995 5.414 3.534 36.087 103.845
MBO 5.092 2.463 3.524 14.38 -16.97
